feature_idx,sample_rank,array_idx,image_id,slice_nr,modality,slice_orientation
159,1,37276,s0411,145,ct,z
159,2,74363,s0792,57,ct,z
159,3,96234,s1003,179,ct,z
159,4,99205,s1032,142,ct,z
159,5,78253,s0820,197,ct,z
43,1,39958,s0490,56,ct,y
43,2,101399,s1046,20,ct,y
43,3,36374,s0408,83,ct,y
43,4,119735,s1276,55,ct,y
43,5,51033,s0606,76,ct,y
130,1,40087,s0490,6,ct,z
130,2,83570,s0889,1,ct,z
130,3,98610,s1031,184,ct,z
130,4,112503,s1167,4,ct,z
130,5,120770,s1278,33,ct,z
1620,1,100027,s1038,36,ct,y
1620,2,79881,s0860,69,ct,x
1620,3,70522,s0754,39,ct,y
1620,4,14782,s0146,18,ct,y
1620,5,111761,s1137,35,ct,y
1437,1,74333,s0792,27,ct,z
1437,2,28292,s0312,121,ct,z
1437,3,25684,s0278,119,ct,z
1437,4,130346,s1407,56,ct,z
1437,5,69518,s0744,89,ct,z
1288,1,46533,s0578,114,ct,x
1288,2,53646,s0621,137,ct,x
1288,3,126044,s1337,130,ct,x
1288,4,6098,s0058,140,ct,x
1288,5,122910,s1296,133,ct,x
376,1,62203,s0696,67,ct,z
376,2,39978,s0490,76,ct,y
376,3,5132,s0050,260,ct,z
376,4,120833,s1278,96,ct,z
376,5,81435,s0866,103,ct,y
210,1,94726,s0983,394,ct,z
210,2,3876,s0029,349,ct,z
210,3,15099,s0146,169,ct,z
210,4,54340,s0621,398,ct,z
210,5,110693,s1124,396,ct,z
335,1,41953,s0513,222,ct,y
335,2,37523,s0417,2,ct,z
335,3,117073,s1234,110,ct,y
335,4,110791,s1124,494,ct,z
335,5,33659,s0374,173,ct,y
1142,1,84191,s0890,75,ct,z
1142,2,14690,s0146,166,ct,x
1142,3,68238,s0737,330,ct,z
1142,4,54263,s0621,321,ct,z
1142,5,45394,s0542,302,ct,z
55,1,37961,s0422,171,ct,y
55,2,84093,s0890,154,ct,y
55,3,43713,s0536,198,ct,y
55,4,101507,s1046,128,ct,y
55,5,114840,s1178,204,ct,y
1442,1,135594,s0294,40,mri,z
1442,2,133972,s0082,9,mri,y
1442,3,133600,s0021,35,mri,y
1442,4,133548,s0015,123,mri,z
1442,5,134678,s0201,45,mri,z
601,1,105139,s1068,78,ct,z
601,2,87386,s0937,349,ct,z
601,3,15588,s0157,89,ct,z
601,4,31146,s0358,215,ct,z
601,5,84903,s0907,190,ct,z
1926,1,136878,s0481,2,mri,y
1926,2,137537,s0538,37,mri,z
1926,3,136783,s0442,25,mri,x
1926,4,137321,s0517,95,mri,z
1926,5,133566,s0021,1,mri,y
1995,1,116593,s1227,48,ct,y
1995,2,25686,s0278,121,ct,z
1995,3,83027,s0881,111,ct,y
1995,4,115709,s1196,184,ct,y
1995,5,102921,s1053,146,ct,z
59,1,74519,s0794,129,ct,x
59,2,43444,s0536,149,ct,x
59,3,39841,s0490,122,ct,x
59,4,108390,s1102,110,ct,x
59,5,79067,s0859,121,ct,x
477,1,45143,s0542,51,ct,z
477,2,41217,s0509,40,ct,z
477,3,67083,s0730,71,ct,z
477,4,21636,s0212,55,ct,z
477,5,46074,s0571,60,ct,z
2025,1,137628,s0567,8,mri,y
2025,2,134112,s0128,33,mri,z
2025,3,134608,s0200,23,mri,y
2025,4,136234,s0356,15,mri,z
2025,5,134559,s0177,16,mri,z
92,1,8521,s0067,44,ct,z
92,2,62193,s0696,57,ct,z
92,3,123089,s1296,110,ct,y
92,4,126392,s1337,52,ct,z
92,5,84050,s0890,111,ct,y
308,1,136418,s0361,35,mri,x
308,2,134601,s0200,16,mri,y
308,3,134846,s0211,27,mri,y
308,4,137627,s0567,7,mri,y
308,5,134046,s0099,17,mri,x
1213,1,83674,s0889,105,ct,z
1213,2,59533,s0680,302,ct,z
1213,3,77534,s0810,110,ct,z
1213,4,120841,s1278,104,ct,z
1213,5,84169,s0890,53,ct,z
3118,1,134544,s0177,1,mri,z
3118,2,135910,s0327,22,mri,z
3118,3,136588,s0416,23,mri,y
3118,4,133717,s0060,6,mri,z
3118,5,135615,s0294,61,mri,z
876,1,134547,s0177,4,mri,z
876,2,134714,s0204,9,mri,z
876,3,133792,s0064,47,mri,y
876,4,136895,s0481,19,mri,y
876,5,135062,s0249,11,mri,y
1541,1,120133,s1276,278,ct,z
1541,2,93697,s0978,99,ct,y
1541,3,119174,s1272,97,ct,y
1541,4,122533,s1295,25,ct,y
1541,5,4128,s0048,187,ct,x
505,1,136944,s0481,68,mri,y
505,2,134546,s0177,3,mri,z
505,3,133949,s0080,6,mri,y
505,4,136654,s0419,9,mri,z
505,5,135878,s0313,111,mri,z
155,1,137515,s0538,15,mri,z
155,2,137212,s0511,98,mri,y
155,3,136743,s0428,8,mri,x
155,4,133730,s0060,19,mri,z
155,5,137316,s0517,90,mri,z
235,1,114767,s1178,131,ct,y
235,2,21463,s0212,56,ct,y
235,3,123038,s1296,59,ct,y
235,4,101404,s1046,25,ct,y
235,5,50150,s0593,65,ct,y
3840,1,136373,s0360,84,mri,z
3840,2,133584,s0021,19,mri,y
3840,3,135586,s0294,32,mri,z
3840,4,134066,s0103,10,mri,y
3840,5,134819,s0211,0,mri,y
961,1,119368,s1272,109,ct,z
961,2,78074,s0820,18,ct,z
961,3,32952,s0367,142,ct,z
961,4,57364,s0653,4,ct,z
961,5,74033,s0782,27,ct,z
267,1,86930,s0937,120,ct,y
267,2,113478,s1172,81,ct,y
267,3,7663,s0065,56,ct,y
267,4,66185,s0726,74,ct,y
267,5,44980,s0542,126,ct,y
456,1,71607,s0771,118,ct,y
456,2,61981,s0696,49,ct,y
456,3,61368,s0688,69,ct,y
456,4,12151,s0123,52,ct,y
456,5,22536,s0240,98,ct,y
1080,1,134201,s0139,26,mri,z
1080,2,134552,s0177,9,mri,z
1080,3,134594,s0200,9,mri,y
1080,4,60054,s0684,165,ct,y
1080,5,133957,s0080,14,mri,y
123,1,39996,s0490,94,ct,y
123,2,135594,s0294,40,mri,z
123,3,62263,s0696,127,ct,z
123,4,135177,s0272,31,mri,z
123,5,126465,s1337,125,ct,z
1236,1,62301,s0696,165,ct,z
1236,2,102423,s1050,128,ct,z
1236,3,56373,s0643,24,ct,z
1236,4,87876,s0949,36,ct,z
1236,5,114371,s1176,230,ct,z
5847,1,134681,s0201,48,mri,z
5847,2,27876,s0301,137,ct,z
5847,3,134628,s0200,43,mri,y
5847,4,116693,s1227,1,ct,z
5847,5,135058,s0249,7,mri,y
120,1,99886,s1038,120,ct,x
120,2,45489,s0563,44,ct,y
120,3,124342,s1307,104,ct,y
120,4,85644,s0912,78,ct,y
120,5,53631,s0621,122,ct,x
507,1,71615,s0771,126,ct,y
507,2,11469,s0115,123,ct,y
507,3,22524,s0240,86,ct,y
507,4,40800,s0509,37,ct,x
507,5,78464,s0840,18,ct,y
1844,1,135017,s0233,62,mri,z
1844,2,134611,s0200,26,mri,y
1844,3,102367,s1050,72,ct,z
1844,4,133790,s0064,45,mri,y
1844,5,133952,s0080,9,mri,y
40,1,51662,s0611,61,ct,y
40,2,39830,s0490,111,ct,x
40,3,103168,s1059,115,ct,x
40,4,92696,s0971,135,ct,y
40,5,78384,s0840,82,ct,x
6148,1,37141,s0411,10,ct,z
6148,2,45671,s0563,153,ct,z
6148,3,134113,s0128,34,mri,z
6148,4,15080,s0146,150,ct,z
6148,5,68911,s0740,62,ct,z
241,1,80591,s0860,287,ct,z
241,2,4130,s0048,189,ct,x
241,3,97356,s1008,221,ct,z
241,4,5099,s0050,227,ct,z
241,5,21862,s0212,281,ct,z
1358,1,95773,s0992,307,ct,z
1358,2,116616,s1227,71,ct,y
1358,3,8503,s0067,26,ct,z
1358,4,123545,s1303,2,ct,y
1358,5,114227,s1176,86,ct,z
190,1,61840,s0696,102,ct,x
190,2,9214,s0084,81,ct,x
190,3,68719,s0740,30,ct,x
190,4,126043,s1337,129,ct,x
190,5,95920,s1003,41,ct,x
737,1,39969,s0490,67,ct,y
737,2,77342,s0810,123,ct,y
737,3,46662,s0578,58,ct,y
737,4,126215,s1337,110,ct,y
737,5,79218,s0859,84,ct,y
381,1,25685,s0278,120,ct,z
381,2,71011,s0754,340,ct,z
381,3,10430,s0103,100,ct,x
381,4,18029,s0172,157,ct,z
381,5,397,s0002,91,ct,z
67,1,56372,s0643,23,ct,z
67,2,14689,s0146,165,ct,x
67,3,62182,s0696,46,ct,z
67,4,106067,s1077,137,ct,x
67,5,37137,s0411,6,ct,z
1445,1,133859,s0065,10,mri,x
1445,2,134832,s0211,13,mri,y
1445,3,136941,s0481,65,mri,y
1445,4,133976,s0082,13,mri,y
1445,5,134613,s0200,28,mri,y
4467,1,135174,s0272,28,mri,z
4467,2,62255,s0696,119,ct,z
4467,3,96104,s1003,49,ct,z
4467,4,89852,s0957,353,ct,z
4467,5,81001,s0865,18,ct,z
1710,1,136632,s0416,67,mri,y
1710,2,134551,s0177,8,mri,z
1710,3,137405,s0526,112,mri,x
1710,4,136747,s0428,12,mri,x
1710,5,134618,s0200,33,mri,y
1271,1,78879,s0843,20,ct,z
1271,2,71097,s0754,426,ct,z
1271,3,91304,s0962,156,ct,y
1271,4,42915,s0525,194,ct,y
1271,5,103455,s1059,17,ct,z
83,1,122943,s1296,166,ct,x
83,2,77351,s0810,132,ct,y
83,3,39292,s0477,162,ct,y
83,4,112447,s1167,118,ct,y
83,5,83481,s0889,120,ct,y
476,1,136746,s0428,11,mri,x
476,2,135397,s0288,28,mri,z
476,3,134558,s0177,15,mri,z
476,4,137008,s0495,1,mri,y
476,5,133957,s0080,14,mri,y
1469,1,25675,s0278,110,ct,z
1469,2,24452,s0262,63,ct,x
1469,3,104522,s1065,246,ct,x
1469,4,99208,s1032,145,ct,z
1469,5,33070,s0368,55,ct,x
1817,1,12166,s0123,67,ct,y
1817,2,64898,s0721,85,ct,y
1817,3,77350,s0810,131,ct,y
1817,4,61396,s0688,97,ct,y
1817,5,71633,s0771,144,ct,y
0,1,33079,s0368,64,ct,x
0,2,77342,s0810,123,ct,y
0,3,102253,s1050,72,ct,y
0,4,107445,s1094,135,ct,y
0,5,89448,s0957,132,ct,y
901,1,134992,s0233,37,mri,z
901,2,134552,s0177,9,mri,z
901,3,136227,s0356,8,mri,z
901,4,135609,s0294,55,mri,z
901,5,133717,s0060,6,mri,z
1418,1,10503,s0103,59,ct,y
1418,2,135648,s0295,22,mri,z
1418,3,99202,s1032,139,ct,z
1418,4,96235,s1003,180,ct,z
1418,5,37275,s0411,144,ct,z
303,1,11304,s0115,162,ct,x
303,2,106844,s1083,48,ct,y
303,3,15369,s0157,92,ct,y
303,4,106200,s1077,75,ct,y
303,5,56116,s0643,96,ct,x
1950,1,137374,s0526,81,mri,x
1950,2,133583,s0021,18,mri,y
1950,3,137209,s0511,95,mri,y
1950,4,136247,s0356,28,mri,z
1950,5,137632,s0567,12,mri,y
1619,1,123064,s1296,85,ct,y
1619,2,61853,s0696,115,ct,x
1619,3,57415,s0653,55,ct,z
1619,4,78454,s0840,8,ct,y
1619,5,22597,s0240,159,ct,y
1608,1,17923,s0172,51,ct,z
1608,2,61511,s0688,7,ct,z
1608,3,34124,s0376,21,ct,z
1608,4,43706,s0536,191,ct,y
1608,5,102501,s1050,206,ct,z
18,1,135647,s0295,21,mri,z
18,2,135588,s0294,34,mri,z
18,3,135908,s0327,20,mri,z
18,4,137014,s0495,7,mri,y
18,5,134954,s0225,89,mri,z
247,1,81455,s0866,123,ct,y
247,2,107467,s1094,157,ct,y
247,3,103870,s1061,135,ct,y
247,4,37876,s0422,86,ct,y
247,5,120583,s1278,107,ct,y
1169,1,126890,s1344,126,ct,y
1169,2,96286,s1004,44,ct,x
1169,3,7742,s0065,135,ct,y
1169,4,43082,s0532,102,ct,x
1169,5,91300,s0962,152,ct,y
3807,1,135175,s0272,29,mri,z
3807,2,135965,s0340,26,mri,z
3807,3,134129,s0128,50,mri,z
3807,4,135697,s0295,71,mri,z
3807,5,134874,s0225,9,mri,z
7758,1,134103,s0128,24,mri,z
7758,2,133574,s0021,9,mri,y
7758,3,133978,s0082,15,mri,y
7758,4,112595,s1167,96,ct,z
7758,5,136311,s0360,22,mri,z
6700,1,134543,s0177,0,mri,z
6700,2,56882,s0647,71,ct,z
6700,3,134714,s0204,9,mri,z
6700,4,133688,s0051,10,mri,y
6700,5,137203,s0511,89,mri,y
302,1,106025,s1077,95,ct,x
302,2,102210,s1050,29,ct,y
302,3,34690,s0378,74,ct,z
302,4,69640,s0747,117,ct,x
302,5,118474,s1258,102,ct,x
396,1,32691,s0367,76,ct,y
396,2,71622,s0771,133,ct,y
396,3,135898,s0327,10,mri,z
396,4,113488,s1172,91,ct,y
396,5,78452,s0840,6,ct,y
1217,1,110680,s1124,383,ct,z
1217,2,77679,s0810,255,ct,z
1217,3,3814,s0029,287,ct,z
1217,4,112709,s1167,210,ct,z
1217,5,89765,s0957,266,ct,z
833,1,121104,s1280,132,ct,x
833,2,43649,s0536,134,ct,y
833,3,99514,s1033,79,ct,y
833,4,61417,s0688,118,ct,y
833,5,43080,s0532,100,ct,x
571,1,53768,s0621,74,ct,y
571,2,121190,s1280,37,ct,y
571,3,119120,s1272,43,ct,y
571,4,14784,s0146,20,ct,y
571,5,80163,s0860,34,ct,y
455,1,32706,s0367,91,ct,y
455,2,101287,s1046,156,ct,x
455,3,134518,s0153,87,mri,y
455,4,39978,s0490,76,ct,y
455,5,72852,s0773,131,ct,y
1232,1,21736,s0212,155,ct,z
1232,2,137582,s0557,10,mri,z
1232,3,85719,s0912,153,ct,y
1232,4,53868,s0621,174,ct,y
1232,5,115409,s1196,94,ct,x
320,1,135060,s0249,9,mri,y
320,2,62203,s0696,67,ct,z
320,3,68228,s0737,320,ct,z
320,4,134125,s0128,46,mri,z
320,5,134543,s0177,0,mri,z
262,1,99447,s1033,12,ct,y
262,2,42836,s0525,115,ct,y
262,3,117540,s1237,20,ct,y
262,4,108152,s1096,220,ct,y
262,5,12124,s0123,25,ct,y
1709,1,101823,s1046,284,ct,z
1709,2,104525,s1065,249,ct,x
1709,3,117608,s1237,88,ct,y
1709,4,314,s0002,8,ct,z
1709,5,8513,s0067,36,ct,z
80,1,134683,s0201,50,mri,z
80,2,136940,s0481,64,mri,y
80,3,137008,s0495,1,mri,y
80,4,137045,s0497,16,mri,z
80,5,135633,s0295,7,mri,z
458,1,67345,s0736,104,ct,y
458,2,128862,s1370,58,ct,y
458,3,119123,s1272,46,ct,y
458,4,11556,s0115,210,ct,y
458,5,113477,s1172,80,ct,y
274,1,128068,s1361,156,ct,y
274,2,111170,s1130,174,ct,y
274,3,30856,s0358,127,ct,y
274,4,18355,s0178,143,ct,y
274,5,7731,s0065,124,ct,y
1540,1,134819,s0211,0,mri,y
1540,2,134116,s0128,37,mri,z
1540,3,28479,s0313,76,ct,y
1540,4,134410,s0149,149,mri,y
1540,5,134434,s0153,3,mri,y
1064,1,81462,s0866,130,ct,y
1064,2,4557,s0050,112,ct,x
1064,3,22609,s0240,171,ct,y
1064,4,77354,s0810,135,ct,y
1064,5,79289,s0859,155,ct,y
51,1,101807,s1046,268,ct,z
51,2,10911,s0110,48,ct,y
51,3,115705,s1196,180,ct,y
51,4,119286,s1272,27,ct,z
51,5,21841,s0212,260,ct,z
1456,1,74018,s0782,12,ct,z
1456,2,92664,s0971,103,ct,y
1456,3,18299,s0178,87,ct,y
1456,4,34138,s0376,35,ct,z
1456,5,72874,s0773,153,ct,y
1624,1,135026,s0233,71,mri,z
1624,2,45494,s0563,49,ct,y
1624,3,134555,s0177,12,mri,z
1624,4,134527,s0153,96,mri,y
1624,5,134717,s0204,12,mri,z
789,1,69536,s0744,107,ct,z
789,2,25688,s0278,123,ct,z
789,3,45671,s0563,153,ct,z
789,4,57951,s0654,102,ct,z
789,5,124961,s1325,46,ct,y
509,1,62172,s0696,36,ct,z
509,2,103439,s1059,1,ct,z
509,3,81002,s0865,19,ct,z
509,4,69797,s0747,58,ct,y
509,5,34622,s0378,6,ct,z
9,1,96796,s1008,36,ct,x
9,2,53763,s0621,69,ct,y
9,3,64850,s0721,37,ct,y
9,4,95310,s0992,238,ct,x
9,5,30120,s0328,244,ct,x
442,1,123091,s1296,112,ct,y
442,2,70562,s0754,79,ct,y
442,3,57147,s0653,81,ct,x
442,4,43660,s0536,145,ct,y
442,5,12210,s0123,111,ct,y
564,1,54706,s0629,139,ct,y
564,2,41889,s0513,158,ct,y
564,3,74517,s0794,127,ct,x
564,4,132373,s1422,163,ct,y
564,5,48426,s0587,174,ct,y
902,1,127995,s1361,83,ct,y
902,2,101145,s1046,14,ct,x
902,3,7436,s0065,21,ct,x
902,4,99230,s1033,0,ct,x
902,5,110284,s1124,254,ct,y
346,1,62063,s0696,131,ct,y
346,2,29316,s0325,288,ct,z
346,3,56365,s0643,16,ct,z
346,4,61385,s0688,86,ct,y
346,5,57809,s0654,156,ct,y
508,1,134720,s0204,15,mri,z
508,2,108060,s1096,128,ct,y
508,3,119226,s1272,149,ct,y
508,4,134118,s0128,39,mri,z
508,5,133504,s0015,79,mri,z
1103,1,134958,s0233,3,mri,z
1103,2,117329,s1234,251,ct,z
1103,3,90825,s0960,61,ct,z
1103,4,27869,s0301,130,ct,z
1103,5,99771,s1033,155,ct,z
250,1,43671,s0536,156,ct,y
250,2,71672,s0771,183,ct,y
250,3,88391,s0951,159,ct,y
250,4,58367,s0664,187,ct,y
250,5,6308,s0058,154,ct,y
1588,1,4737,s0050,38,ct,y
1588,2,62001,s0696,69,ct,y
1588,3,71611,s0771,122,ct,y
1588,4,115794,s1196,71,ct,z
1588,5,70348,s0754,200,ct,x
427,1,83495,s0889,134,ct,y
427,2,131693,s1418,148,ct,y
427,3,82028,s0870,68,ct,y
427,4,7651,s0065,44,ct,y
427,5,43686,s0536,171,ct,y
16,1,7735,s0065,128,ct,y
16,2,81428,s0866,96,ct,y
16,3,48396,s0587,144,ct,y
16,4,99516,s1033,81,ct,y
16,5,83465,s0889,104,ct,y
2001,1,94883,s0984,29,ct,y
2001,2,87996,s0949,156,ct,z
2001,3,106702,s1083,120,ct,x
2001,4,96658,s1004,30,ct,z
2001,5,133414,s0003,19,mri,z
1017,1,134079,s0128,0,mri,z
1017,2,135066,s0249,15,mri,y
1017,3,133601,s0022,0,mri,y
1017,4,134713,s0204,8,mri,z
1017,5,133827,s0064,82,mri,y
177,1,134618,s0200,33,mri,y
177,2,135589,s0294,35,mri,z
177,3,137042,s0497,13,mri,z
177,4,136253,s0356,34,mri,z
177,5,134563,s0177,20,mri,z
265,1,114756,s1178,120,ct,y
265,2,5104,s0050,232,ct,z
265,3,131589,s1418,44,ct,y
265,4,9705,s0086,142,ct,y
265,5,1004,s0004,17,ct,y
1930,1,117253,s1234,175,ct,z
1930,2,72413,s0772,91,ct,z
1930,3,104513,s1065,237,ct,x
1930,4,45651,s0563,133,ct,z
1930,5,28536,s0313,25,ct,z
287,1,70537,s0754,54,ct,y
287,2,6111,s0058,153,ct,x
287,3,66184,s0726,73,ct,y
287,4,100073,s1038,82,ct,y
287,5,76390,s0806,49,ct,y
246,1,27840,s0301,101,ct,z
246,2,51753,s0611,32,ct,z
246,3,102214,s1050,33,ct,y
246,4,57222,s0653,9,ct,y
246,5,92671,s0971,110,ct,y
555,1,137244,s0517,18,mri,z
555,2,134629,s0200,44,mri,y
555,3,4129,s0048,188,ct,x
555,4,27880,s0301,141,ct,z
555,5,136231,s0356,12,mri,z
27,1,135644,s0295,18,mri,z
27,2,134547,s0177,4,mri,z
27,3,4710,s0050,11,ct,y
27,4,134863,s0211,44,mri,y
27,5,135056,s0249,5,mri,y
1079,1,74246,s0792,69,ct,y
1079,2,21960,s0233,52,ct,x
1079,3,70768,s0754,97,ct,z
1079,4,88015,s0949,175,ct,z
1079,5,25618,s0278,53,ct,z
76,1,96337,s1004,95,ct,x
76,2,134591,s0200,6,mri,y
76,3,135603,s0294,49,mri,z
76,4,33412,s0374,108,ct,x
76,5,133590,s0021,25,mri,y
1438,1,135112,s0271,26,mri,z
1438,2,134559,s0177,16,mri,z
1438,3,133791,s0064,46,mri,y
1438,4,136985,s0481,109,mri,y
1438,5,136660,s0419,15,mri,z
1856,1,37377,s0417,113,ct,x
1856,2,25684,s0278,119,ct,z
1856,3,42914,s0525,193,ct,y
1856,4,18027,s0172,155,ct,z
1856,5,8392,s0067,58,ct,y
3632,1,108389,s1102,109,ct,x
3632,2,39278,s0477,148,ct,y
3632,3,71458,s0771,172,ct,x
3632,4,95419,s0992,154,ct,y
3632,5,113884,s1176,101,ct,x
1411,1,101854,s1046,315,ct,z
1411,2,134551,s0177,8,mri,z
1411,3,134116,s0128,37,mri,z
1411,4,87858,s0949,18,ct,z
1411,5,134498,s0153,67,mri,y
1304,1,118716,s1258,169,ct,y
1304,2,81038,s0865,55,ct,z
1304,3,59955,s0684,66,ct,y
1304,4,21120,s0209,294,ct,z
1304,5,24906,s0270,77,ct,x
279,1,39983,s0490,81,ct,y
279,2,57410,s0653,50,ct,z
279,3,77351,s0810,132,ct,y
279,4,79239,s0859,105,ct,y
279,5,12173,s0123,74,ct,y
157,1,99858,s1038,92,ct,x
157,2,62474,s0702,131,ct,x
157,3,45807,s0571,149,ct,x
157,4,19405,s0193,188,ct,x
157,5,67613,s0737,77,ct,x
65,1,61173,s0688,84,ct,x
65,2,27003,s0294,56,ct,x
65,3,34779,s0378,163,ct,z
65,4,62252,s0696,116,ct,z
65,5,99516,s1033,81,ct,y
426,1,136418,s0361,35,mri,x
426,2,114740,s1178,104,ct,y
426,3,32161,s0366,235,ct,y
426,4,137486,s0530,28,mri,z
426,5,136492,s0394,10,mri,x
1024,1,938,s0004,174,ct,x
1024,2,79982,s0860,170,ct,x
1024,3,93550,s0978,177,ct,x
1024,4,114767,s1178,131,ct,y
1024,5,12053,s0123,189,ct,x
1451,1,51013,s0606,56,ct,y
1451,2,123073,s1296,94,ct,y
1451,3,122538,s1295,30,ct,y
1451,4,84648,s0907,158,ct,y
1451,5,30839,s0358,110,ct,y
215,1,136947,s0481,71,mri,y
215,2,135647,s0295,21,mri,z
215,3,134544,s0177,1,mri,z
215,4,59082,s0680,42,ct,y
215,5,135061,s0249,10,mri,y
586,1,70348,s0754,200,ct,x
586,2,69821,s0747,82,ct,y
586,3,124337,s1307,99,ct,y
586,4,119121,s1272,44,ct,y
586,5,114796,s1178,160,ct,y
8060,1,135669,s0295,43,mri,z
8060,2,59906,s0684,17,ct,y
8060,3,136246,s0356,27,mri,z
8060,4,137463,s0530,5,mri,z
8060,5,135065,s0249,14,mri,y
1473,1,133948,s0080,5,mri,y
1473,2,14697,s0146,173,ct,x
1473,3,137504,s0538,4,mri,z
1473,4,135070,s0249,19,mri,y
1473,5,134526,s0153,95,mri,y
899,1,45014,s0542,160,ct,y
