feature_idx,sample_rank,array_idx,image_id,slice_nr,modality,slice_orientation
899,2,42916,s0525,195,ct,y
899,3,21936,s0233,28,ct,x
899,4,99906,s1038,140,ct,x
899,5,18987,s0188,149,ct,y
3062,1,99859,s1038,93,ct,x
3062,2,83487,s0889,126,ct,y
3062,3,82076,s0870,116,ct,y
3062,4,8421,s0067,87,ct,y
3062,5,55524,s0637,132,ct,y
1590,1,22517,s0240,79,ct,y
1590,2,42913,s0525,192,ct,y
1590,3,45490,s0563,45,ct,y
1590,4,124975,s1325,60,ct,y
1590,5,39969,s0490,67,ct,y
176,1,115650,s1196,125,ct,y
176,2,123128,s1296,149,ct,y
176,3,63430,s0715,17,ct,x
176,4,27009,s0294,62,ct,x
176,5,78934,s0843,75,ct,z
393,1,133747,s0064,2,mri,y
393,2,134562,s0177,19,mri,z
393,3,133976,s0082,13,mri,y
393,4,136251,s0356,32,mri,z
393,5,135157,s0272,11,mri,z
1325,1,57722,s0654,69,ct,y
1325,2,68842,s0740,146,ct,y
1325,3,90089,s0958,2,ct,y
1325,4,34565,s0378,130,ct,y
1325,5,27242,s0294,100,ct,y
543,1,56372,s0643,23,ct,z
543,2,134563,s0177,20,mri,z
543,3,116693,s1227,1,ct,z
543,4,62274,s0696,138,ct,z
543,5,135677,s0295,51,mri,z
1277,1,134621,s0200,36,mri,y
1277,2,92667,s0971,106,ct,y
1277,3,76387,s0806,46,ct,y
1277,4,135061,s0249,10,mri,y
1277,5,133704,s0056,15,mri,y
385,1,133485,s0015,60,mri,z
385,2,42388,s0521,31,ct,y
385,3,134142,s0128,63,mri,z
385,4,21156,s0209,330,ct,z
385,5,73808,s0782,212,ct,x
409,1,39990,s0490,88,ct,y
409,2,135062,s0249,11,mri,y
409,3,62008,s0696,76,ct,y
409,4,96097,s1003,42,ct,z
409,5,101846,s1046,307,ct,z
1775,1,93159,s0972,45,ct,y
1775,2,59909,s0684,20,ct,y
1775,3,121210,s1280,57,ct,y
1775,4,17476,s0165,79,ct,y
1775,5,116697,s1227,5,ct,z
1781,1,61874,s0696,136,ct,x
1781,2,134556,s0177,13,mri,z
1781,3,137463,s0530,5,mri,z
1781,4,99393,s1033,163,ct,x
1781,5,134678,s0201,45,mri,z
995,1,1899,s0006,133,ct,y
995,2,41044,s0509,86,ct,y
995,3,108588,s1102,114,ct,y
995,4,86926,s0937,116,ct,y
995,5,83421,s0889,60,ct,y
1308,1,80141,s0860,12,ct,y
1308,2,73852,s0782,22,ct,y
1308,3,111727,s1137,224,ct,x
1308,4,53763,s0621,69,ct,y
1308,5,123020,s1296,41,ct,y
317,1,130347,s1407,57,ct,z
317,2,57704,s0654,51,ct,y
317,3,24664,s0262,72,ct,y
317,4,45667,s0563,149,ct,z
317,5,37523,s0417,2,ct,z
329,1,108631,s1102,157,ct,y
329,2,99943,s1038,177,ct,x
329,3,112455,s1167,126,ct,y
329,4,126036,s1337,122,ct,x
329,5,79255,s0859,121,ct,y
942,1,12161,s0123,62,ct,y
942,2,70608,s0754,125,ct,y
942,3,61190,s0688,101,ct,x
942,4,81411,s0866,79,ct,y
942,5,3231,s0029,149,ct,x
281,1,109885,s1124,102,ct,x
281,2,81459,s0866,127,ct,y
281,3,37880,s0422,90,ct,y
281,4,12030,s0123,166,ct,x
281,5,67857,s0737,104,ct,y
225,1,3232,s0029,150,ct,x
225,2,871,s0004,107,ct,x
225,3,39946,s0490,44,ct,y
225,4,119801,s1276,121,ct,y
225,5,18318,s0178,106,ct,y
1565,1,137463,s0530,5,mri,z
1565,2,134169,s0128,90,mri,z
1565,3,136878,s0481,2,mri,y
1565,4,133948,s0080,5,mri,y
1565,5,136811,s0442,53,mri,x
501,1,83348,s0889,195,ct,x
501,2,840,s0004,76,ct,x
501,3,119591,s1276,134,ct,x
501,4,14766,s0146,2,ct,y
501,5,126036,s1337,122,ct,x
203,1,114810,s1178,174,ct,y
203,2,71921,s0771,185,ct,z
203,3,70371,s0754,223,ct,x
203,4,124402,s1307,164,ct,y
203,5,48332,s0587,80,ct,y
582,1,62080,s0696,148,ct,y
582,2,72665,s0773,144,ct,x
582,3,78092,s0820,36,ct,z
582,4,126291,s1337,186,ct,y
582,5,12764,s0138,84,ct,y
360,1,128944,s1370,140,ct,y
360,2,83495,s0889,134,ct,y
360,3,122408,s1295,106,ct,x
360,4,33211,s0368,89,ct,y
360,5,96597,s1004,163,ct,y
372,1,102566,s1053,78,ct,x
372,2,86937,s0937,127,ct,y
372,3,57218,s0653,5,ct,y
372,4,35724,s0392,70,ct,y
372,5,106811,s1083,15,ct,y
299,1,102442,s1050,147,ct,z
299,2,62201,s0696,65,ct,z
299,3,123063,s1296,84,ct,y
299,4,72410,s0772,88,ct,z
299,5,134186,s0139,11,mri,z
483,1,61777,s0696,39,ct,x
483,2,28136,s0312,60,ct,y
483,3,37158,s0411,27,ct,z
483,4,117369,s1237,34,ct,x
483,5,12737,s0138,57,ct,y
574,1,80799,s0865,46,ct,x
574,2,45492,s0563,47,ct,y
574,3,86430,s0925,68,ct,y
574,4,69217,s0740,368,ct,z
574,5,37523,s0417,2,ct,z
421,1,135646,s0295,20,mri,z
421,2,126220,s1337,115,ct,y
421,3,102669,s1053,27,ct,y
421,4,135893,s0327,5,mri,z
421,5,41476,s0509,299,ct,z
58,1,134125,s0128,46,mri,z
58,2,34686,s0378,70,ct,z
58,3,134037,s0099,8,mri,x
58,4,134555,s0177,12,mri,z
58,5,116693,s1227,1,ct,z
5500,1,133711,s0060,0,mri,z
5500,2,134544,s0177,1,mri,z
5500,3,134691,s0201,58,mri,z
5500,4,108969,s1102,292,ct,z
5500,5,134595,s0200,10,mri,y
345,1,39980,s0490,78,ct,y
345,2,3421,s0029,129,ct,y
345,3,89432,s0957,116,ct,y
345,4,71605,s0771,116,ct,y
345,5,79062,s0859,116,ct,x
296,1,121239,s1280,86,ct,y
296,2,136225,s0356,6,mri,z
296,3,57735,s0654,82,ct,y
296,4,82860,s0881,56,ct,x
296,5,80990,s0865,7,ct,z
1961,1,134543,s0177,0,mri,z
1961,2,135901,s0327,13,mri,z
1961,3,134861,s0211,42,mri,y
1961,4,134117,s0128,38,mri,z
1961,5,135066,s0249,15,mri,y
449,1,102480,s1050,185,ct,z
449,2,42588,s0521,111,ct,z
449,3,80022,s0860,210,ct,x
449,4,117259,s1234,181,ct,z
449,5,25267,s0270,222,ct,y
1714,1,91311,s0962,163,ct,y
1714,2,84081,s0890,142,ct,y
1714,3,101285,s1046,154,ct,x
1714,4,22019,s0233,20,ct,y
1714,5,115629,s1196,104,ct,y
1543,1,57292,s0653,79,ct,y
1543,2,25685,s0278,120,ct,z
1543,3,100151,s1038,7,ct,z
1543,4,79300,s0859,166,ct,y
1543,5,115528,s1196,213,ct,x
338,1,24958,s0270,129,ct,x
338,2,81045,s0865,62,ct,z
338,3,42604,s0521,127,ct,z
338,4,25673,s0278,108,ct,z
338,5,102411,s1050,116,ct,z
889,1,111766,s1137,40,ct,y
889,2,99466,s1033,31,ct,y
889,3,51653,s0611,52,ct,y
889,4,91240,s0962,92,ct,y
889,5,102228,s1050,47,ct,y
318,1,137520,s0538,20,mri,z
318,2,134554,s0177,11,mri,z
318,3,137208,s0511,94,mri,y
318,4,135607,s0294,53,mri,z
318,5,133715,s0060,4,mri,z
1886,1,14111,s0145,17,ct,z
1886,2,3041,s0025,75,ct,z
1886,3,42588,s0521,111,ct,z
1886,4,122407,s1295,105,ct,x
1886,5,100162,s1038,18,ct,z
144,1,40551,s0491,106,ct,y
144,2,135060,s0249,9,mri,y
144,3,27881,s0301,142,ct,z
144,4,94208,s0983,66,ct,y
144,5,93634,s0978,36,ct,y
84,1,134554,s0177,11,mri,z
84,2,62008,s0696,76,ct,y
84,3,71029,s0754,358,ct,z
84,4,81461,s0866,129,ct,y
84,5,101461,s1046,82,ct,y
313,1,135056,s0249,5,mri,y
313,2,58291,s0664,111,ct,y
313,3,134617,s0200,32,mri,y
313,4,134068,s0103,12,mri,y
313,5,134547,s0177,4,mri,z
680,1,90176,s0958,89,ct,y
680,2,126267,s1337,162,ct,y
680,3,111962,s1137,91,ct,z
680,4,22011,s0233,12,ct,y
680,5,106272,s1077,147,ct,y
1519,1,63720,s0715,148,ct,y
1519,2,74122,s0792,49,ct,x
1519,3,104,s0002,104,ct,x
1519,4,3081,s0025,115,ct,z
1519,5,104932,s1068,198,ct,x
365,1,62169,s0696,33,ct,z
365,2,74799,s0794,223,ct,y
365,3,121065,s1280,93,ct,x
365,4,34626,s0378,10,ct,z
365,5,57837,s0654,184,ct,y
949,1,134063,s0103,7,mri,y
949,2,134550,s0177,7,mri,z
949,3,135072,s0249,21,mri,y
949,4,133565,s0021,0,mri,y
949,5,136418,s0361,35,mri,x
100,1,134855,s0211,36,mri,y
100,2,66917,s0730,79,ct,y
100,3,85298,s0909,47,ct,z
100,4,134756,s0204,51,mri,z
100,5,133975,s0082,12,mri,y
1964,1,72448,s0772,126,ct,z
1964,2,22593,s0240,155,ct,y
1964,3,27002,s0294,55,ct,x
1964,4,62137,s0696,1,ct,z
1964,5,19012,s0188,174,ct,y
454,1,57776,s0654,123,ct,y
454,2,71613,s0771,124,ct,y
454,3,61995,s0696,63,ct,y
454,4,117366,s1237,31,ct,x
454,5,68727,s0740,38,ct,x
1816,1,134371,s0149,110,mri,y
1816,2,80815,s0865,62,ct,x
1816,3,2857,s0025,40,ct,x
1816,4,137246,s0517,20,mri,z
1816,5,137007,s0495,0,mri,y
1984,1,51663,s0611,62,ct,y
1984,2,61434,s0688,135,ct,y
1984,3,96344,s1004,102,ct,x
1984,4,5573,s0052,92,ct,y
1984,5,102213,s1050,32,ct,y
1060,1,134102,s0128,23,mri,z
1060,2,97599,s1009,87,ct,x
1060,3,2945,s0025,69,ct,y
1060,4,68942,s0740,93,ct,z
1060,5,134845,s0211,26,mri,y
1566,1,72381,s0772,59,ct,z
1566,2,63251,s0706,78,ct,y
1566,3,57879,s0654,30,ct,z
1566,4,45638,s0563,120,ct,z
1566,5,99222,s1032,159,ct,z
1121,1,11505,s0115,159,ct,y
1121,2,70623,s0754,140,ct,y
1121,3,62073,s0696,141,ct,y
1121,4,24690,s0262,98,ct,y
1121,5,37147,s0411,16,ct,z
1735,1,124981,s1325,66,ct,y
1735,2,56354,s0643,5,ct,z
1735,3,25675,s0278,110,ct,z
1735,4,81033,s0865,50,ct,z
1735,5,45665,s0563,147,ct,z
948,1,71648,s0771,159,ct,y
948,2,57712,s0654,59,ct,y
948,3,133578,s0021,13,mri,y
948,4,61857,s0696,119,ct,x
948,5,56898,s0647,87,ct,z
369,1,2929,s0025,53,ct,y
369,2,86906,s0937,96,ct,y
369,3,21951,s0233,43,ct,x
369,4,28439,s0313,36,ct,y
369,5,60413,s0685,84,ct,y
422,1,104484,s1065,208,ct,x
422,2,25685,s0278,120,ct,z
422,3,63250,s0706,77,ct,y
422,4,59958,s0684,69,ct,y
422,5,17909,s0172,37,ct,z
1346,1,34022,s0376,44,ct,y
1346,2,72331,s0772,9,ct,z
1346,3,21108,s0209,282,ct,z
1346,4,17291,s0165,86,ct,x
1346,5,33121,s0368,106,ct,x
1928,1,19363,s0193,146,ct,x
1928,2,28370,s0313,68,ct,x
1928,3,93950,s0978,192,ct,z
1928,4,59092,s0680,52,ct,y
1928,5,119121,s1272,44,ct,y
1133,1,124986,s1325,71,ct,y
1133,2,62077,s0696,145,ct,y
1133,3,128884,s1370,80,ct,y
1133,4,116692,s1227,0,ct,z
1133,5,57299,s0653,86,ct,y
1171,1,7713,s0065,106,ct,y
1171,2,15398,s0157,121,ct,y
1171,3,83442,s0889,81,ct,y
1171,4,107404,s1094,94,ct,y
1171,5,30856,s0358,127,ct,y
459,1,102210,s1050,29,ct,y
459,2,111663,s1137,160,ct,x
459,3,51807,s0611,86,ct,z
459,4,18976,s0188,138,ct,y
459,5,1877,s0006,111,ct,y
1944,1,96100,s1003,45,ct,z
1944,2,32679,s0367,64,ct,y
1944,3,24713,s0262,121,ct,y
1944,4,27237,s0294,95,ct,y
1944,5,37181,s0411,50,ct,z
384,1,122586,s1295,78,ct,y
384,2,72815,s0773,94,ct,y
384,3,87790,s0949,113,ct,y
384,4,117237,s1234,159,ct,z
384,5,90006,s0958,70,ct,x
1212,1,87644,s0949,59,ct,x
1212,2,134115,s0128,36,mri,z
1212,3,74240,s0792,63,ct,y
1212,4,69492,s0744,63,ct,z
1212,5,102450,s1050,155,ct,z
655,1,135161,s0272,15,mri,z
655,2,70601,s0754,118,ct,y
655,3,135060,s0249,9,mri,y
655,4,134556,s0177,13,mri,z
655,5,56009,s0637,426,ct,z
297,1,112137,s1137,266,ct,z
297,2,3077,s0025,111,ct,z
297,3,42915,s0525,194,ct,y
297,4,17888,s0172,16,ct,z
297,5,118184,s1241,211,ct,y
233,1,22552,s0240,114,ct,y
233,2,5612,s0052,131,ct,y
233,3,84053,s0890,114,ct,y
233,4,17291,s0165,86,ct,x
233,5,37136,s0411,5,ct,z
1904,1,34628,s0378,12,ct,z
1904,2,69229,s0740,380,ct,z
1904,3,28193,s0312,22,ct,z
1904,4,45030,s0542,176,ct,y
1904,5,22354,s0240,146,ct,x
256,1,25687,s0278,122,ct,z
256,2,31673,s0360,133,ct,y
256,3,118698,s1258,151,ct,y
256,4,122403,s1295,101,ct,x
256,5,21107,s0209,281,ct,z
288,1,35707,s0392,53,ct,y
288,2,61802,s0696,64,ct,x
288,3,14683,s0146,159,ct,x
288,4,4598,s0050,153,ct,x
288,5,76357,s0806,16,ct,y
1636,1,42908,s0525,187,ct,y
1636,2,135063,s0249,12,mri,y
1636,3,135909,s0327,21,mri,z
1636,4,137200,s0511,86,mri,y
1636,5,133684,s0051,6,mri,y
209,1,103168,s1059,115,ct,x
209,2,42430,s0521,73,ct,y
209,3,80935,s0865,71,ct,y
209,4,51666,s0611,65,ct,y
209,5,107417,s1094,107,ct,y
5,1,81443,s0866,111,ct,y
5,2,121198,s1280,45,ct,y
5,3,15337,s0157,60,ct,y
5,4,82106,s0870,146,ct,y
5,5,77341,s0810,122,ct,y
7611,1,19336,s0193,119,ct,x
7611,2,91303,s0962,155,ct,y
7611,3,101764,s1046,225,ct,z
7611,4,80002,s0860,190,ct,x
7611,5,67619,s0737,83,ct,x
1761,1,133953,s0080,10,mri,y
1761,2,21466,s0212,59,ct,y
1761,3,134085,s0128,6,mri,z
1761,4,137139,s0511,25,mri,y
1761,5,134619,s0200,34,mri,y
781,1,117423,s1237,88,ct,x
781,2,134555,s0177,12,mri,z
781,3,97805,s1009,61,ct,y
781,4,134119,s0128,40,mri,z
781,5,133582,s0021,17,mri,y
742,1,107983,s1096,51,ct,y
742,2,61383,s0688,84,ct,y
742,3,99479,s1033,44,ct,y
742,4,14799,s0146,35,ct,y
742,5,66999,s0730,161,ct,y
244,1,105033,s1068,134,ct,y
244,2,74145,s0792,72,ct,x
244,3,73576,s0776,126,ct,z
244,4,99209,s1032,146,ct,z
244,5,34124,s0376,21,ct,z
1439,1,134605,s0200,20,mri,y
1439,2,93626,s0978,28,ct,y
1439,3,135161,s0272,15,mri,z
1439,4,135610,s0294,56,mri,z
1439,5,136417,s0361,34,mri,x
1849,1,8386,s0067,52,ct,y
1849,2,135181,s0272,35,mri,z
1849,3,25126,s0270,81,ct,y
1849,4,63550,s0715,137,ct,x
1849,5,33982,s0376,4,ct,y
746,1,12209,s0123,110,ct,y
746,2,4036,s0048,95,ct,x
746,3,77341,s0810,122,ct,y
746,4,244,s0002,59,ct,y
746,5,53869,s0621,175,ct,y
1628,1,73585,s0776,135,ct,z
1628,2,78076,s0820,20,ct,z
1628,3,45671,s0563,153,ct,z
1628,4,81043,s0865,60,ct,z
1628,5,102199,s1050,18,ct,y
70,1,130424,s1410,59,ct,x
70,2,77341,s0810,122,ct,y
70,3,68773,s0740,77,ct,y
70,4,83467,s0889,106,ct,y
70,5,69494,s0744,65,ct,z
1019,1,87996,s0949,156,ct,z
1019,2,51660,s0611,59,ct,y
1019,3,96481,s1004,47,ct,y
1019,4,80793,s0865,40,ct,x
1019,5,102467,s1050,172,ct,z
673,1,18369,s0178,157,ct,y
673,2,69493,s0744,64,ct,z
673,3,62294,s0696,158,ct,z
673,4,73441,s0776,124,ct,y
673,5,66690,s0730,6,ct,x
435,1,25182,s0270,137,ct,y
435,2,67671,s0737,135,ct,x
435,3,17510,s0165,113,ct,y
435,4,42662,s0525,105,ct,x
435,5,34143,s0376,40,ct,z
480,1,118597,s1258,50,ct,y
480,2,134768,s0204,63,mri,z
480,3,25678,s0278,113,ct,z
480,4,21946,s0233,38,ct,x
480,5,99193,s1032,130,ct,z
487,1,136622,s0416,57,mri,y
487,2,135060,s0249,9,mri,y
487,3,99489,s1033,54,ct,y
487,4,134128,s0128,49,mri,z
487,5,134548,s0177,5,mri,z
1795,1,28351,s0313,49,ct,x
1795,2,88783,s0952,37,ct,y
1795,3,80804,s0865,51,ct,x
1795,4,75591,s0804,154,ct,y
1795,5,99481,s1033,46,ct,y
357,1,137267,s0517,41,mri,z
357,2,45494,s0563,49,ct,y
357,3,134552,s0177,9,mri,z
357,4,56719,s0647,14,ct,y
357,5,27225,s0294,83,ct,y
88,1,80277,s0860,148,ct,y
88,2,68230,s0737,322,ct,z
88,3,25997,s0287,119,ct,y
88,4,70566,s0754,83,ct,y
88,5,60126,s0684,63,ct,z
181,1,73436,s0776,119,ct,y
181,2,118702,s1258,155,ct,y
181,3,131706,s1418,161,ct,y
181,4,96467,s1004,33,ct,y
181,5,8815,s0083,99,ct,x
236,1,51728,s0611,7,ct,z
236,2,31669,s0360,129,ct,y
236,3,92670,s0971,109,ct,y
236,4,15427,s0157,150,ct,y
236,5,108031,s1096,99,ct,y
843,1,21964,s0233,56,ct,x
843,2,96035,s1003,99,ct,y
843,3,117548,s1237,28,ct,y
843,4,128836,s1370,32,ct,y
843,5,73856,s0782,26,ct,y
271,1,18010,s0172,138,ct,z
271,2,42820,s0525,99,ct,y
271,3,4062,s0048,121,ct,x
271,4,99208,s1032,145,ct,z
271,5,3066,s0025,100,ct,z
765,1,45492,s0563,47,ct,y
765,2,130498,s1410,28,ct,y
765,3,123620,s1303,77,ct,y
765,4,99200,s1032,137,ct,z
765,5,42835,s0525,114,ct,y
686,1,18352,s0178,140,ct,y
686,2,85147,s0909,24,ct,y
686,3,126915,s1344,151,ct,y
686,4,5637,s0052,156,ct,y
686,5,106966,s1083,10,ct,z
594,1,42830,s0525,109,ct,y
594,2,99463,s1033,28,ct,y
594,3,79186,s0859,240,ct,x
594,4,27238,s0294,96,ct,y
594,5,73855,s0782,25,ct,y
468,1,17588,s0165,191,ct,y
468,2,1419,s0004,273,ct,z
468,3,51727,s0611,6,ct,z
468,4,115650,s1196,125,ct,y
468,5,91325,s0962,177,ct,y
21,1,92688,s0971,127,ct,y
21,2,97816,s1009,72,ct,y
21,3,90017,s0958,81,ct,x
21,4,111782,s1137,56,ct,y
21,5,91238,s0962,90,ct,y
1921,1,134535,s0153,104,mri,y
1921,2,42477,s0521,0,ct,z
1921,3,133594,s0021,29,mri,y
1921,4,134608,s0200,23,mri,y
1921,5,135014,s0233,59,mri,z
932,1,99905,s1038,139,ct,x
932,2,124978,s1325,63,ct,y
932,3,73854,s0782,24,ct,y
932,4,82879,s0881,75,ct,x
932,5,42691,s0525,134,ct,x
118,1,47291,s0585,119,ct,x
118,2,91304,s0962,156,ct,y
118,3,18017,s0172,145,ct,z
118,4,82075,s0870,115,ct,y
118,5,99933,s1038,167,ct,x
1510,1,86913,s0937,103,ct,y
1510,2,135063,s0249,12,mri,y
1510,3,70333,s0754,185,ct,x
1510,4,133791,s0064,46,mri,y
1510,5,108581,s1102,107,ct,y
151,1,62068,s0696,136,ct,y
151,2,72410,s0772,88,ct,z
151,3,28171,s0312,0,ct,z
151,4,56378,s0643,29,ct,z
151,5,93054,s0972,82,ct,x
142,1,111977,s1137,106,ct,z
142,2,21959,s0233,51,ct,x
142,3,92672,s0971,111,ct,y
142,4,4063,s0048,122,ct,x
142,5,72760,s0773,39,ct,y
413,1,28379,s0313,77,ct,x
413,2,118465,s1258,93,ct,x
413,3,129619,s1395,135,ct,y
413,4,126168,s1337,63,ct,y
413,5,21957,s0233,49,ct,x
861,1,110170,s1124,140,ct,y
861,2,17766,s0172,66,ct,x
861,3,200,s0002,15,ct,y
861,4,9317,s0084,56,ct,y
861,5,111958,s1137,87,ct,z
1953,1,25286,s0270,241,ct,y
1953,2,133699,s0056,10,mri,y
1953,3,99405,s1033,175,ct,x
1953,4,91289,s0962,141,ct,y
1953,5,74016,s0782,10,ct,z
1707,1,134715,s0204,10,mri,z
1707,2,42564,s0521,87,ct,z
1707,3,135893,s0327,5,mri,z
1707,4,135068,s0249,17,mri,y
1707,5,134117,s0128,38,mri,z
1752,1,133784,s0064,39,mri,y
1752,2,80245,s0860,116,ct,y
1752,3,135061,s0249,10,mri,y
1752,4,86912,s0937,102,ct,y
1752,5,133581,s0021,16,mri,y
310,1,63427,s0715,14,ct,x
310,2,12203,s0123,104,ct,y
310,3,3065,s0025,99,ct,z
310,4,15124,s0146,194,ct,z
310,5,91309,s0962,161,ct,y
7291,1,133581,s0021,16,mri,y
7291,2,62217,s0696,81,ct,z
7291,3,118480,s1258,108,ct,x
7291,4,134100,s0128,21,mri,z
7291,5,134593,s0200,8,mri,y
1094,1,69366,s0744,29,ct,y
1094,2,121198,s1280,45,ct,y
1094,3,72271,s0772,72,ct,y
1094,4,130347,s1407,57,ct,z
1094,5,68723,s0740,34,ct,x
85,1,24477,s0262,88,ct,x
85,2,37175,s0411,44,ct,z
85,3,97897,s1009,22,ct,z
85,4,56409,s0643,60,ct,z
85,5,20758,s0209,54,ct,y
4329,1,134640,s0201,7,mri,z
4329,2,57718,s0654,65,ct,y
4329,3,22535,s0240,97,ct,y
4329,4,89062,s0952,198,ct,z
4329,5,56354,s0643,5,ct,z
1432,1,134559,s0177,16,mri,z
1432,2,45007,s0542,153,ct,y
1432,3,114807,s1178,171,ct,y
1432,4,62169,s0696,33,ct,z
1432,5,83520,s0889,159,ct,y
1873,1,134540,s0153,109,mri,y
1873,2,62233,s0696,97,ct,z
1873,3,135070,s0249,19,mri,y
1873,4,134616,s0200,31,mri,y
1873,5,134120,s0128,41,mri,z
1355,1,134554,s0177,11,mri,z
1355,2,130348,s1407,58,ct,z
1355,3,71642,s0771,153,ct,y
1355,4,61863,s0696,125,ct,x
1355,5,133593,s0021,28,mri,y
135,1,137527,s0538,27,mri,z
135,2,135060,s0249,9,mri,y
135,3,81631,s0866,92,ct,z
135,4,134713,s0204,8,mri,z
135,5,133727,s0060,16,mri,z
1869,1,34565,s0378,130,ct,y
1869,2,126203,s1337,98,ct,y
1869,3,133804,s0064,59,mri,y
1869,4,127613,s1345,121,ct,y
1869,5,62000,s0696,68,ct,y
1987,1,59903,s0684,14,ct,y
1987,2,134552,s0177,9,mri,z
1987,3,24717,s0262,125,ct,y
1987,4,63689,s0715,117,ct,y
1987,5,134722,s0204,17,mri,z
